Profile,Carbon.Kg.m2,Nitrogen.g.m2,Latitude,Longitude,Code
0038002  62 CA,2.4,238,37.6,-120.1,A
0038003  63 CA,3.8,251,39,-123,A
0038004  64ACA,3.1,193,39,-123,A
0038005  65 CA,2.7,190,34.1,-118.3,A
0038006 965 CA,5.7,353,39,-123,A
0038007  66 CA,3.2,247,34.1,-118.3,A
0038008  67 CA,4.3,247,34.2,-118.2,A
0038009  68 CA,3.3,238,34.2,-118.2,A
0038010  69 CA,2.3,172,33.1,-116.5,A
0038011  70 CA,8.2,413,33.1,-116.5,A
0038012  71 CA,13,766,32.9,-116.5,A
0038013  72 CA,6.3,320,32.9,-116.5,A
0038014  73 CA,6,358,32.9,-116.5,A
0038015  74 CA,5.1,246,32.9,-116.6,A
0038016  75 CA,7.8,414,32.9,-116.6,A
0038017  76 CA,4.9,247,32.9,-116.6,A
0038018  77 CA,7.1,415,33.1,-117.2,A
0038019  78 CA,8.7,473,33.1,-117.2,A
0038020  83 CA,7.4,346,41,-122.4,A
0038021  84 CA,3.5,179,40.3,-122.8,A
0038022  85 CA,3.8,221,40.3,-122.8,A
0038023  86 CA,2.6,149,39.6,-122.5,A
0038024  87 CA,2.3,109,39.6,-122.5,A
0038025  88 CA,2.8,121,39.5,-122.7,A
0038026  89 CA,4.1,380,39.5,-122.7,A
0038027  90 CA,2.7,168,39.5,-122.6,A
0039001 54-36CA,3.6,313,34.2,-117.6,A
0039002 54-58CA,2.4,232,34.2,-117.6,A
0039003 55-40CA,3,257,34.2,-117.6,A
0039004 55-58CA,3.4,242,34.2,-117.6,A
0039007 55-69 CA,1.9,109,34.2,-117.6,A
0039008 55-69 CA,2.3,127,34.2,-117.6,A
0039009 55-69 CA,1.5,92,34.2,-117.6,A
0039010 55-69 CA,2,125,34.2,-117.6,A
0039011 55-69 CA,1.5,95,34.2,-117.6,A
0039012 55-75CA,3.9,295,34.2,-117.6,A
0039013 56-40CA,3.6,271,34.2,-117.6,A
0039014 56-58CA,2.8,269,34.2,-117.6,A
0039017 56-69 CA,1.7,113,34.2,-117.6,A
0039018 56-69 CA,1.9,129,34.2,-117.6,A
0039019 56-69 CA,1.7,132,34.2,-117.6,A
0039020 56-69 CA,2.2,189,34.2,-117.6,A
0039021 56-69 CA,1.6,124,34.2,-117.6,A
0039022 56-75CA,6.2,423,34.2,-117.6,A
0039023 57-40CA,3.1,277,34.2,-117.6,A
0039024 57-58CA,3.2,289,34.2,-117.6,A
0039026 58-40CA,3,273,34.2,-117.6,A
0039027 58-58CA,3.5,270,34.2,-117.6,A
0039028 59-40CA,3.3,293,34.2,-117.6,A
0039029 59-58CA,4.2,267,34.2,-117.6,A
0039032 59-69 CA,2.5,141,34.2,-117.6,A
0039033 59-69 CA,3.2,173,34.2,-117.6,A
0039034 59-69 CA,3.4,158,34.2,-117.6,A
0039035 59-69 CA,5.9,570,34.2,-117.6,A
0039036 59-69 CA,1.6,115,34.2,-117.6,A
0039037 60   CA,2.2,261,34.2,-117.6,A
0039038 64-58CA,4.5,276,34.2,-117.6,A
0039040 64-69CA,2.3,143,34.2,-117.6,A
0039041 79-58CA,4.2,274,34.2,-117.6,A
0039042 79-60CA,0.6,57,34.2,-117.6,A
0039043 79-69CA,1.7,123,34.2,-117.6,A
0039044 80-58CA,5.3,345,34.2,-117.6,A
0039046 80-69CA,2.9,190,34.2,-117.6,A
0043001 95A  CA,20.6,621,41.2,-124.1,A
0043002 95B  CA,25.7,713,41.2,-124.1,A
0043003 95C  CA,7.5,693,41.2,-124.1,A
0043004 95D  CA,13.6,468,41.2,-124.1,A
0043005 95E  CA,15.6,569,41.2,-124.1,A
0043006 95F  CA,15.4,757,41.2,-124.1,A
0043007 95G  CA,15.4,656,41.2,-124.1,A
0043008 95H  CA,38.5,873,41.2,-124.1,A
0043009 95I  CA,9.6,295,41.2,-124.1,A
0043010 95J  CA,25.2,1191,41.2,-124.1,A
0043011 95.1ACA,35.6,882,41.2,-124.1,A
0043012 95.1BCA,11.2,486,41.2,-124.1,A
0043013 95.1CCA,8.9,537,41.2,-124.1,A
0043014 95.1DCA,23.9,434,41.2,-124.1,A
0043015 95.1ECA,7.2,317,41.2,-124.1,A
0043016 95.1FCA,18.2,787,41.2,-124.1,A
0043017 95.1GCA,15,701,41.2,-124.1,A
0043018 95.1HCA,10.6,580,41.2,-124.1,A
0043019 95.1ICA,20.2,794,41.2,-124.1,A
0043020 95.1JCA,12.8,713,41.2,-124.1,A
0043021 96A  CA,9.6,579,41.2,-124.1,A
0043022 96B  CA,8.6,499,41.2,-124.1,A
0043023 96C  CA,8.8,613,41.2,-124.1,A
0043024 96D  CA,8.1,512,41.2,-124.1,A
0043025 96E  CA,7.6,539,41.2,-124.1,A
0043026 96F  CA,11.3,500,41.2,-124.1,A
0043027 96G  CA,13.2,714,41.2,-124.1,A
0043028 96H  CA,10.7,539,41.2,-124.1,A
0043029 96I  CA,11.8,658,41.2,-124.1,A
0043030 96J  CA,12.2,695,41.2,-124.1,A
0043031 96.1ACA,12.6,711,41.2,-124.1,A
0043032 96.1BCA,12.2,709,41.2,-124.1,A
0043033 96.1CCA,15,667,41.2,-124.1,A
0043034 96.1DCA,12,733,41.2,-124.1,A
0043035 96.1ECA,13,772,41.2,-124.1,A
0043036 96.1FCA,12.9,765,41.2,-124.1,A
0043037 96.1GCA,10.9,691,41.2,-124.1,A
0043038 96.1HCA,19.6,832,41.2,-124.1,A
0043039 96.1ICA,16.7,617,41.2,-124.1,A
0043040 96.1JCA,13.1,572,41.2,-124.1,A
0043041 97A  CA,7.1,469,41,-124,A
0043042 97B  CA,8.3,497,41,-124,A
0043043 97C  CA,10.6,438,41,-124,A
0043044 97D  CA,11.5,434,41,-124,A
0043045 97E  CA,10.2,459,41,-124,A
0043046 97F  CA,12.5,504,41,-124,A
0043047 97G  CA,8.4,383,41,-124,A
0043048 97H  CA,15.2,768,41,-124,A
0043049 97I  CA,14.9,662,41,-124,A
0043050 97J  CA,10.4,562,41,-124,A
0043051 98A  CA,21.6,908,41,-124,A
0043052 98B  CA,17.8,881,41,-124,A
0043053 98C  CA,15.9,884,41,-124,A
0043054 98D  CA,15.9,908,41,-124,A
0043055 98 E CA,17,1012,41,-124,A
0043056 98F  CA,16.9,971,41,-124,A
0043057 98G  CA,20.7,899,41,-124,A
0043058 98H  CA,14,760,41,-124,A
0043059 98I  CA,21.4,1114,41,-124,A
0043060 98J  CA,13.2,550,41,-124,A
0043061 99A  CA,5.1,411,40.9,-123.9,A
0043062 99B  CA,5,331,40.9,-123.9,A
0043063 99C  CA,6.9,465,40.9,-123.9,A
0043064 99D  CA,5.7,350,40.9,-123.9,A
0043065 99E  CA,9.5,392,40.9,-123.9,A
0043066 99F  CA,11.9,649,40.9,-123.9,A
0043067 99G  CA,15.3,547,40.9,-123.9,A
0043068 99H  CA,7.7,474,40.9,-123.9,A
0043069 99I  CA,9.1,445,40.9,-123.9,A
0043070 99J  CA,12.5,464,40.9,-123.9,A
0043071 100A CA,8.8,583,40.9,-123.9,A
0043072 100B CA,8.6,616,40.9,-123.9,A
0043073 100C CA,11.9,609,40.9,-123.9,A
0043074 100D CA,15.3,724,40.9,-123.9,A
0043075 100E CA,8,701,40.9,-123.9,A
0043076 100F CA,13.1,558,40.9,-123.9,A
0043077 100G CA,10.3,590,40.9,-123.9,A
0043078 100H CA,12.4,685,40.9,-123.9,A
0043079 100I CA,9.4,629,40.9,-123.9,A
0043080 100J CA,10.5,372,40.9,-123.9,A
0044001 101 CA,18.2,881,40.3,-124,A
0044002 102 CA,14.4,907,40.3,-124,A
0044003 103 CA,16.9,1076,40.3,-123.9,A
0044004 104 CA,10.9,569,40.3,-123.9,A
0044005 105 CA,11.4,782,40.3,-123.9,A
0044006 106 CA,15.5,883,40.3,-123.9,A
0044007 107 CA,14.8,868,40.3,-123.9,A
0044008 108 CA,22.7,1433,40.4,-123.9,A
0044009 109 CA,16.7,960,40.4,-124,A
0044010 110 CA,16.5,1137,40.3,-124,A
0044011 111 CA,1.9,168,40.4,-124,A
0044012 112 CA,4.3,222,40.4,-124,A
0044013 113 CA,3,149,40.4,-124,A
0044014 114 CA,0.3,14,40.4,-124,A
0044015 115 CA,4.7,118,40.4,-124,A
0044016 116 CA,0.5,54,40.4,-124,A
0044017 117 CA,0.6,42,40.4,-124,A
0044018 118 CA,3.8,131,40.4,-124,A
0044019 119 CA,0.7,52,40.4,-124,A
0044020 120 CA,5.6,245,40.4,-124,A
0044021 121 CA,8,614,40.4,-124,A
0044022 122 CA,14.7,960,40.2,-123.8,A
0044023 123 CA,13.5,801,40.2,-123.8,A
0044024 124 CA,9.8,627,40.4,-124,A
0044025 131 CA,24.6,1411,40.5,-124,A
0045001 101 CA,4.8,338,40.3,-124,A
0045002 102 CA,7.1,394,40.3,-124,A
0045003 102ACA,2.7,206,40.3,-124,A
0045004 108 CA,5.4,464,40.4,-123.9,A
0045005 110 CA,5.1,296,40.3,-124,A
0045006 122 CA,13.2,863,40.2,-123.8,A
0045007 123 CA,17.3,827,40.2,-123.8,A
0045008 124 CA,<0.1,<0.1,40.4,-124,A
0045009 128 CA,13.2,552,40.3,-124,A
0045010 130 CA,8.2,363,40.3,-124,A
0049001 140 CA,8.6,384,37.7,-119.6,A
0049002 141 CA,8,437,37.7,-119.6,A
0049003 142 CA,7.2,322,37.7,-119.6,A
0049004 143 CA,20,1390,37.7,-119.6,A
0049005 144 CA,<0.1,<0.1,37.7,-119.6,A
0049006 145 CA,2.8,142,37.7,-119.6,A
0049007 146 CA,10.4,731,37.7,-119.6,A
0049008 147 CA,14.3,877,37.7,-119.6,A
0049009 148 CA,15.5,886,37.7,-119.6,A
0049010 149 CA,11.3,491,37.7,-119.6,A
0049011 149ACA,1.4,64,37.7,-119.6,A
0049012 150 CA,12.1,464,37.7,-119.6,A
0049013 151 CA,16.7,1079,37.7,-119.6,A
0049014 152 CA,10.6,639,37.7,-119.6,A
0049015 153 CA,7.5,514,37.7,-119.6,A
0049016 154 CA,12.7,658,37.7,-119.6,A
0049017 155 CA,22.7,1394,37.7,-119.6,A
0049018 156 CA,27,1829,37.7,-119.6,A
0049019 157 CA,20.4,1328,37.7,-119.6,A
0049020 158 CA,35.6,2431,37.7,-119.6,A
0049021 159 CA,28.3,1859,37.7,-119.6,A
0049022 160 CA,4,156,37.7,-119.6,A
0049023 161 CA,4.3,212,37.7,-119.6,A
0049024 162 CA,6.3,377,37.7,-119.6,A
0049025 163 CA,5.5,236,37.7,-119.6,A
0049026 164 CA,6.9,333,37.7,-119.6,A
0049027 165 CA,30.1,2038,37.7,-119.6,A
0049028 166 CA,<0.1,<0.1,37.7,-119.6,A
0050001 168 CA,18.1,924,36.7,-118.9,A
0050002 168ACA,25.5,1582,36.7,-118.9,A
0050003 968 CA,11.3,631,36.6,-118.8,A
0050004 868 CA,16.3,839,37.4,-119.6,A
0050005 768 CA,10.5,462,37.7,-119.8,A
0051005 170 CA,7.4,455,40,-121,A
0051006 171 CA,22.4,1464,36.5,-118.3,A
0051007 173 CA,24.2,1678,36.5,-118.3,A
0051008 175 CA,11.5,600,36.5,-118.3,A
0051009 202 CA,88.8,6224,36.5,-118.3,A
0051010 203 CA,3.8,232,36.5,-118.4,A
0051011 204 CA,17.2,1082,36.5,-118.1,A
0052001 205 CA,26.2,1987,39.1,-120.2,A
0052002 206 CA,15.6,606,39.1,-120.2,A
0052003 207 CA,19.7,617,39.1,-120.2,A
0052004 208 CA,8.2,303,39.1,-120.2,A
0052005 209 CA,10.9,500,39.1,-120.2,A
0052006 210 CA,10.7,542,39.1,-120.2,A
0053001 211  CA,25.2,1056,38.9,-120.1,A
0053002 212  CA,8.3,387,38.9,-120.1,A
0053003 213  CA,30.3,1198,38.9,-120.1,A
0054001  232CA,25.6,681,39.1,-120.3,A
0054002  233CA,11.6,992,39.1,-120.3,A
0054003  234CA,20.5,1800,39.1,-120.3,A
0054004  235CA,18.3,1319,39.1,-120.3,A
0054005  236CA,7.1,295,39.1,-120.3,A
0054006  237CA,16.2,1354,39.1,-120.3,A
0054007  238CA,23.8,901,39.1,-120.3,A
0054008  239CA,19.1,773,39.1,-120.3,A
0054009  240CA,38.1,1933,38.9,-120,A
0056002 242 NV,4.6,139,39.2,-120,A
0057001 U231GU,42.3,1849,15.5,-89,A
0057002 U232GU,21.9,981,15.5,-89,A
0057003 U233GU,17.1,798,15.5,-89,A
0057004 U234GU,13.5,690,15.5,-89,A
0058001 U309HO,31.2,737,15.5,-87.8,A
0058002 U312HO,19.7,871,15.5,-87.8,A
0058003 U316HO,18,564,15.5,-87.8,A
0058004 U318HO,33.4,1249,15.5,-87.8,A
0058005 U319HO,16.5,644,15.5,-87.8,A
0058006 U326HO,10,443,15.5,-87.8,A
0058007 U327HO,24.5,574,15.5,-87.8,A
0058008 U330HO,33.2,871,15.5,-87.8,A
0058009 U331HO,22.8,902,15.5,-87.8,A
0058010 U332HO,17.8,673,15.5,-87.8,A
0059001 U115PN,53.3,898,8.1,-81,A
0059002 U117PN,50.9,1349,8.1,-81,A
0059003 U125PN,27.9,909,8.1,-81,A
0059004 U126PN,34.2,1035,8.1,-81,A
0059005 U127PN,36.4,1155,8.1,-81,A
0059006 U128PN,23,1076,8.1,-81,A
0059007 U129PN,19.6,689,8.1,-81,A
0059008 U130PN,22.7,1338,8.1,-81,A
0059009 U131PN,36,1096,8.1,-81,A
0059010 U132PN,32,1209,8.1,-81,A
0060001 59 CA  3 18,5.5,530,38.2,-121.5,A
0060002 59 CA  3 17,6,530,38.2,-121.5,A
0060003 61 CA  9   6,8.8,647,38.6,-120.7,A
0060004 59 CA  3  11,15.9,616,38.5,-120.5,A
0060005 59 CA  3  12,18.2,677,38.5,-120.5,A
0060006 58 CA  1   3,8.4,1153,37.7,-121.7,A
0060007 58 CA  1   4,7,717,37.7,-121.7,A
0060008 59 CA  3   6,2.8,300,38.4,-120.7,A
0060009 59 CA  3   5,4,360,38.5,-120.8,A
0060010 66 CA 37   3,4.7,<0.1,32.8,-116.6,A
0060011 59 CA  3   7,3.9,321,38.4,-121,A
0060012 59 CA  3   8,4.1,344,38.5,-121,A
0060013 61 CA 32  16,3.3,176,39.8,-120.2,A
0060014 61 CA 32  15,5.1,314,39.7,-120.3,A
0060015 69 CA 33  1,5.1,148,33.8,-116.9,A
0060016 60 CA 37   9,15.1,1077,32.9,-116.7,A
0060017 61 CA  9   3,7.7,435,38.8,-121,A
0060018 61 CA  9   4,7.2,356,38,-121,A
0060019 64 CA 37   8,7,598,33.3,-117.3,A
0060020 64 CA 37   9,4.5,155,33.1,-116.9,A
0060021 68 CA  9 24,6.7,135,38.9,-119.9,A
0060022 68 CA  9  27,6.2,154,38.9,-119.9,A
0060023 68 CA  9  32,4.4,67,38.9,-119.9,A
0060024 55 CA 18   3,2.8,84,40.4,-120.5,A
0060025 61 CA 32  19,8.2,569,39.8,-120.5,A
0060026 61 CA 46   5,8.5,532,39.7,-120.4,A
0060027 56 CA 37   1,4.8,279,32.8,-117.2,A
0060028 55 CA 36   7,0.7,37,34.9,-117.2,A
0060029 55 CA 36   8,0.6,49,34.9,-117.2,A
0060030 66 CA 25   2,2.9,298,41.5,-120.6,A
0060031 66 CA 25   3,2.3,258,41.5,-120.7,A
0060032 69 CA 36  27,14.5,921,34,-117.7,A
0060033 55 CA 18   1,2.8,36,40.4,-120.5,A
0060034 55 CA 33   8,1.2,83,33.7,-117,A
0060035 69 CA 31  23,4.8,454,38.8,-121.2,A
0060036 69 CA 31  18,3.7,300,38.9,-120.7,A
0060037 60 CA 37   6,5.7,338,33.1,-116.6,A
0060038 61 CA 37   5,7.1,395,32.7,-116.4,A
0060039 60 CA 37   5,5.2,391,33.2,-116.5,A
0060040 61 CA 37   3,5.3,254,33.2,-116.6,A
0060041 61 CA 37   6,8,628,33.1,-116.6,A
0060042 61 CA 37   7,7.1,527,33.1,-116.6,A
0060043 57 CA 33   4,1.3,116,33.7,-117.3,A
0060044 58 CA  1   1,11.9,1831,37.7,-121.8,A
0060045 58 CA  1   2,14.1,1911,37.7,-121.8,A
0060046 68 CA 29  36,4.1,219,39.3,-121.1,A
0060047 64 CA 37   6,4.4,241,33.4,-116.6,A
0060048 60 CA  3  27,8.9,575,38.5,-120.7,A
0060049 61 CA 37   1,6.9,495,33,-116.6,A
0060050 60 CA  3 28,14.7,1029,38.5,-120.7,A
0060051 69 CA 31 8,4,401,38.7,-121.4,A
0060052 57 CA 33 16,2.9,306,33.5,-117.2,A
0060053 66 CA 47   6,8.5,343,42,-122.7,A
0060054 66 CA 47   8,6.7,261,42,-122.6,A
0060055 60 CA 37   8,18.4,855,33,-116.6,A
0060056 68 CA 29  33,8.5,292,39.3,-120.9,A
0060057 68 CA 26  34,13.3,524,39.3,-121,A
0060058 61 CA  9   5,7.5,584,38.6,-120.6,A
0060059 61 CA 37   2,7.6,411,33,-116.6,A
0060060 57 CA 41   1,3.3,184,37.4,-122.3,A
0060061 57 CA 41   2,3.4,199,37.4,-122.3,A
0060062 61 CA 49  7,4.3,488,38.5,-122.8,A
0060063 61 CA 49   8,3.6,366,38.6,-122.7,A
0060064 68 CA  9  29,4.3,250,38.8,-120,A
0060065 68 CA  9  30,7.3,120,38.8,-120,A
0060066 68 CA  9  34,6,108,38.8,-119.9,A
0060067 68 CA  9 33,10.1,330,38.8,-120,A
0060068 59 CA  3   4,6.9,278,38.4,-120.7,A
0060069 60 CA  3  29,8.4,425,38.4,-120.7,A
0060070 66 CA 47   1,8.3,266,42,-122.7,A
0060071 66 CA 47   2,5,259,42,-122.7,A
0060072 66 CA 47   3,3.9,78,42,-122.7,A
0060073 66 CA 47   4,5.1,172,42,-122.6,A
0060074 66 CA 47   5,7.6,227,42,-122.6,A
0060075 60 CA  3  24,9,435,38.4,-120.7,A
0060076 60 CA 37   1,5.2,375,33.2,-116.5,A
0060077 60 CA 37   2,5.8,325,33.2,-116.4,A
0060078 60 CA 37   4,5.7,367,33.2,-116.5,A
0060079 61 CA 37   4,7.1,467,32.7,-116.4,A
0060080 55 CA 24   1,7.7,696,37.1,-120.9,A
0060081 57 CA 33   6,8.6,767,33.8,-117.2,A
0060082 55 CA 36   9,0.3,15,34.8,-116.6,A
0060083 65 CA 27   4,17.2,1056,36.3,-121.1,A
0060084 62 CA 42  11,13.3,1209,34.8,-120.3,A
0060085 55 CA 41  13,13.3,964,37.4,-122.3,A
0060086 55 CA 41  14,15.9,1482,37.4,-122.4,A
0060087 59 CA 01  5,7.6,809,37.6,-122,A
0060088 59 CA 01  6,8.9,893,37.8,-121.9,A
0060089 61 CA 32  21,2.8,164,39.7,-120.4,A
0060090 61 CA 46   6,5.5,373,39.7,-120.4,A
0060091 61 CA 32  11,4,184,39.7,-120.2,A
0060092 61 CA 32  10,2.4,101,39.7,-120.2,A
0060093 60 CA  3  36,6.9,396,38.5,-120.6,A
0060094 60 CA  3  25,5.8,195,38.5,-120.6,A
0060095 59 CA  3  1,9.5,825,38.5,-121.8,A
0060096 59 CA  3  2,10.4,1009,38.1,-121.5,A
0060097 55 CA 36  10,0.5,21,34.8,-116.6,A
0060098 57 CA 33   3,1.5,136,33.7,-116.5,A
0060099 57 CA 33   5,1.2,93,33.7,-116.5,A
0060100 59 CA 01   5,6,645,37.6,-122,A
0060101 55 CA 36   5,2.6,178,34.8,-116.6,A
0060102 59 CA 36   1,1.9,171,34.5,-116.6,A
0060103 45 CA 52 X9,1.7,372,40,-121.7,A
0060104 57 CA 33 13,2.5,277,33.9,-117.2,A
0060105 66 CA 37 1,10.5,<0.1,32.8,-117.2,A
0060106 69 CA 31 10,3.4,243,38.8,-121.3,A
0060107 55 CA 33  15,3.1,134,33.5,-116.6,A
0060108 59 CA  3  13,12.4,522,38.4,-120.6,A
0060109 59 CA  3  14,17.3,739,38.4,-120.6,A
0060110 62 CA 43   1,4,115,34.9,-120.4,A
0060111 62 CA 42   2,3.4,56,34.8,-120.4,A
0060112 61 CA 32 17,3.9,269,39.6,-120.3,A
0060113 60 CA  3  22,3.2,285,38.3,-121,A
0060114 60 CA  3  33,2.2,214,38.3,-121,A
0060115 60 CA  3  20,2.6,151,38.2,-121,A
0060116 60 CA  3  21,2.9,258,38.2,-121,A
0060117 64 CA 48   3,7.7,659,38.3,-121.8,A
0060118 64 CA 57  12,14.3,1206,38.6,-121.7,A
0060119 57 CA  7   3,9,695,38,-121.6,A
0060120 60 CA 01  2,8.7,779,37.6,-121.7,A
0060121 55 CA 41   4,17,901,37.4,-122.4,A
0060122 59 CA 01  1,6.1,577,37.6,-121.7,A
0060123 59 CA 01  2,5.6,516,37.6,-121.8,A
0060124 58 CA 20   1,11.9,1091,37,-120.5,A
0060125 61 CA 32  13,15.3,1233,39.4,-120.3,A
0060126 61 CA 32  14,22.9,1940,39.4,-120.3,A
0060127 59 CA  3  9,6.5,578,38.4,-121,A
0060128 59 CA  3  10,6,508,38.3,-121,A
0060129 45 CA 45  X8,5.8,566,40.4,-122.4,A
0060130 59 CA  3   9,8.3,568,38.4,-121,A
0060131 45 CA 52  5,2.2,406,40.1,-122.2,A
0060132 66 CA 37  2,8.6,<0.1,32.8,-117.2,A
0060133 66 CA 37   4,4.4,<0.1,32.9,-117.1,A
0060134 61 CA 09   1,5.7,505,38.7,-121,A
0060135 61 CA  9   2,8.7,450,38.7,-121,A
0060136 55 CA 36   6,3.3,259,34.9,-117.2,A
0060137 69 CA 31  22,6.2,361,38.7,-121.2,A
0060138 65 CA 27   6,1.4,79,36.3,-121.1,A
0060139 65 CA 27  28,4.8,224,36.4,-121.2,A
0060140 59 CA  3  17,6.5,593,38.5,-120.8,A
0060141 59 CA  3  18,5.9,576,38.5,-120.8,A
0060142 69 CA 31 20,2.1,162,38.9,-121.5,A
0060143 62 CA 42   9,47.1,3489,34.9,-120.6,A
0060144 62 CA 42  10,50,3912,34.9,-120.6,A
0060145 64 CA 37  18,<0.1,<0.1,32.5,-117,A
0060147 68 CA 29   7,3.5,85,39.2,-121.1,A
0060148 68 CA 29,6.2,249,39.2,-121,A
0060149 68 CA 29  35,4.6,238,39.3,-121,A
0060150 65 CA 27   9,12.6,538,36.2,-121,A
0060151 65 CA 27   8,11.1,510,36.2,-121,A
0060152 60 CA 37   7,7.8,307,33,-116.5,A
0060153 65 CA 27  20,8.6,580,36.4,-121.9,A
0060154 65 CA 27  23,5.3,250,36.6,-121.4,A
0060155 65 CA 27  25,4.8,190,36.6,-121.4,A
0060156 65 CA 27  26,6.5,291,36.6,-121.4,A
0060157 65 CA 27  21,14,679,36.4,-121.9,A
0060158 65 CA 27  22,9.2,454,36.4,-121.9,A
0060159 65 CA 27  24,10.3,568,36.6,-121.3,A
0060160 59 CA  3  15,5.5,516,38.5,-120.8,A
0060161 59 CA  3   3,8.9,535,38.4,-120.7,A
0060162 59 CA  3  4,6.8,273,38.3,-120.7,A
0060163 68 CA 29  31,20,701,39.2,-121,A
0060164 68 CA 29  32,20.9,593,39.2,-121,A
0060165 54 CA 18   2,8.5,413,40.4,-120.4,A
0060166 64 CA 48   7,6.4,536,38.2,-122,A
0060167 61 CA 49   3,11.9,1111,38.4,-122.9,A
0060168 65 CA 27 19,13.7,590,36.2,-121.8,A
0060169 66 CA 47 10,5.9,299,41.4,-122.8,A
0060170 66 CA 47   9,5,149,41.4,-122.8,A
0060171 59 CA  3   1,10.5,915,38.4,-120.8,A
0060172 59 CA  3   2,11.3,1076,38.3,-120.9,A
0060173 55 CA 41  10,8.3,610,37.4,-122.3,A
0060174 55 CA 41   9,12.3,925,37.4,-122.3,A
0060175 62 CA 42,3.6,68,34.7,-120.6,A
0060176 62 CA 42   8,4.5,166,34.7,-120.6,A
0060177 55 CA 33   9,3.4,174,33.5,-117.2,A
0060178 68 CA  9  20,6,131,38.9,-119.9,A
0060179 68 CA  9  23,4.8,825,38.9,-119.9,A
0060180 61 CA 31   1,4.8,359,38.8,-121.3,A
0060181 61 CA 31   2,2.9,254,38.8,-121.3,A
0060182 66 CA 25   1,14.7,498,42,-120.7,A
0060183 68 CA 29 29,9,455,39.3,-121.2,A
0060184 45 CA 37 X15,6,491,32.8,-117.2,A
0060185 59 CA 01   6,9,790,37.7,-122,A
0060186 59 CA 01   8,3.4,310,37.5,-121.6,A
0060187 59 CA  1   9,3.4,341,37.5,-121.6,A
0060188 55 CA 33 6,2.7,100,33.7,-117,A
0060189 55 CA 33   7,2.7,128,33.6,-116.9,A
0060190 64 CA 37 1,4.3,215,33.3,-117.3,A
0060191 64 CA 37 4,3.7,210,33.3,-117.3,A
0060192 55 CA 41  11,15,1081,37.4,-122.4,A
0060193 55 CA 41  12,17.9,1104,37.4,-122.4,A
0060194 55 CA 24   3,10.4,1030,37.1,-120.8,A
0060195 61 CA 49 1,5.4,517,38.4,-122.9,A
0060196 61 CA 49 2,10.5,828,38.4,-122.8,A
0060197 65 CA 27   5,12.3,672,36.3,-121.1,A
0061001 70 OR  3   6,18.4,878,45.1,-122,A
0061003 72 OR  6   4,16.3,1120,43.1,-124.1,A
0061004 72 OR  6   7,14.2,1097,43.1,-124.1,A
0061005 70 OR  3   3,10.3,640,45.1,-122,A
0061006 70 OR  3   4,8.5,731,45.1,-122,A
0061007 70 OR 26   8,10.3,719,45.5,-122,A
0061008 70 OR 26   9,6.8,503,45.5,-122,A
0061009 70 OR 26   6,11.8,868,45.5,-122,A
0061010 70 OR 26   7,14.7,897,45.5,-122,A
0061011 70 OR  3   1,11.8,736,45.1,-122,A
0061012 70 OR  3   2,11.3,759,45.1,-122,A
0061013 69 OR 15   3,12.2,440,42.5,-122.8,A
0061014 69 OR 15   4,7.5,333,42.5,-122.8,A
0061015 73 OR  6   5,39.3,2612,43.1,-124.1,A
0061016 73 OR  6   6,19.3,1219,43.1,-124.1,A
0061017 73 OR  6   1,10.3,862,43.1,-124.1,A
0061018 73 OR  6   2,22,1541,43.1,-124.1,A
0061019 70 OR 26   5,5.9,404,45.5,-122,A
0061020 70 OR 26  10,5.7,416,45.5,-122,A
0061021 73 OR  6   4,24.7,1415,43.1,-124.1,A
0061022 73 OR  6   7,18.2,1299,43.1,-124.1,A
0061023 69 OR 17   1,9,425,42.4,-123.5,A
0061024 69 OR 17   2,7.8,376,42.4,-123.5,A
0061025 69 OR 17   3,6.3,195,42.4,-123.5,A
0061026 70 OR 34   1,11.3,502,45.5,-123,A
0061027 70 OR 34   2,7.6,520,45.5,-123,A
0061028 72 OR 18   5,2.2,86,42.6,-121.5,A
0061029 72 OR 18   6,4.8,185,42.6,-121.5,A
0061030 72 OR 18   7,5.3,238,42.6,-121.5,A
0061031 72 OR 18   8,3.4,138,42.6,-121.5,A
0061032 72 OR 18   9,3.7,148,42.6,-121.5,A
0061033 72 OR 18  10,8.8,330,42.6,-121.5,A
0061034 72 OR 10   1,56.1,2876,43.3,-123,A
0061035 72 OR 20   1,34.5,2000,43.8,-122.9,A
0061036 72 OR 18  13,5.2,252,42.6,-121.5,A
0061037 72 OR  6   5,18.5,1238,43.1,-124.1,A
0061038 72 OR  6   8,12.1,726,43.1,-124.1,A
0061039 73 OR  6   3,23.3,1584,43.1,-124.1,A
0061040 73 OR  6   8,16.7,2070,43.1,-124.1,A
0061041 73 OR  8   1,19.3,1816,42.5,-124.1,A
0061042 69 OR 15   7,11.4,299,42.5,-122.8,Aa
0061043 69 OR 15   8,6.3,345,42.5,-122.8,A
0061044 69 OR 17   4,5.8,328,42.4,-123.5,A
0061045 70 OR 26   1,12.9,825,45.5,-122,A
0061046 70 OR 26   2,12.4,881,45.5,-122,A
0061047 69 OR 15   2,4.6,196,42.5,-122.8,A
0061048 69 OR 15   6,9.2,344,42.5,-122.8,A
0061049 72 OR  6   1,33.5,2218,43.1,-124.1,A
